"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/10/23 12:15 PM,"??????.","1196587316824793088",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","#JISUN “#menow” challenge with LOONA’s Hyunjin 

https://t.co/SgufJjz73M https://t.co/gjWOfEJSO3",,,639.0,"1667384947206922240"
6/10/23 12:34 PM,"Kstyle","428933674",,"-1","ja","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","“??????”??????LOONA? ?????????…?????????????????
https://t.co/J9eyBQ9suN",,,16.0,"1667389869008769025"
6/10/23 7:20 PM,"kei?","1359080208893108226",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @loonaschedule: Yves (lastyvesniin) Naver blog update ?

#????? #LOONA #?? #Yves https://t.co/KpmdtQ6CK3",,,52.0,"1667491964726460417"
6/10/23 7:20 PM,"?? ? ? (poyo)????","2853100411",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @allkpop: LOONA's #Yves starts her own blog
https://t.co/JD8dB6390t",,,30.0,"1667491893767200768"
6/10/23 7:20 PM,"???????????????????ft. ????????????","1439865249763528709",,"-1","und","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @kpopguru_th: #LIGHTSUM 
#LOONA -> #ARTMS 
#OHMYGIRL https://t.co/lszqUZWZlF",,,29.0,"1667491892752441345"
6/10/23 7:20 PM,"??(??? ?? ???…)","1449216455254286336",,"-1","ko","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @imananji1010: ????? ?? ???
RT ?? ???(1?) ?? ????? ?? ???? ????????
??:06/11 ????
??:06/12 ???~
??:06/13

??? ??? ?? ???? https://t.co/e…",,,1901.0,"1667491884946821121"
6/10/23 7:20 PM,"jericho","1591463400701587456","ghtibli","2953696818","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@ghtibli wkwkw loona sbt actually a chaos back then",,,0.0,"1667491875543195649"
6/10/23 7:20 PM,"Loona the hellhound fan","1596178517892399104",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @TF_Moments: the title of this G1 episode was misspelled upon first broadcast, though DVD releases corrected it. (1985) https://t.co/3xs…",,,23.0,"1667491854890278913"
6/10/23 7:19 PM,"?? . . ??","2953696818","dumpissues","1591463400701587456","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@dumpissues bener. aku ga collect loona but i’m gg enjoyer and also johnny’s collector. ???",,,0.0,"1667491735101112320"
6/10/23 7:19 PM,"mupukpik #ARTMS?","1148219471321899010",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @loonaschedule: HyunJin (hyunjinab) is currently live on Instagram ? 

? https://t.co/TfBvYJ9udg

#????? #LOONA #?? #HyunJin https://t.c…",,,2.0,"1667491621506809858"
